t1      ,ch1     ,t2      ,ch2     
   3.785,    0.013,    3.785,   -0.005
   3.801,    0.009,    3.801,   -0.005
   3.817,    0.010,    3.817,   -0.005
   3.834,    0.009,    3.834,   -0.006
   3.850,    0.011,    3.850,   -0.005
   3.867,    0.008,    3.867,   -0.006
   3.883,    0.009,    3.883,   -0.005
   3.899,    0.010,    3.899,   -0.006
   3.916,    0.013,    3.916,   -0.004
   3.932,    0.010,    3.932,   -0.006
   3.949,    0.010,    3.949,   -0.005
   3.965,    0.013,    3.965,   -0.005
   3.981,    0.013,    3.981,   -0.004
   3.998,    0.014,    3.998,   -0.004
   4.014,    0.009,    4.014,   -0.006
   4.030,    0.009,    4.030,   -0.006
   4.047,    0.009,    4.047,   -0.005
   4.063,    0.011,    4.063,   -0.005
   4.080,    0.012,    4.080,   -0.005
   4.096,    0.004,    4.096,   -0.006
   4.112,    0.011,    4.112,   -0.006
   4.129,    0.007,    4.129,   -0.006
   4.145,    0.009,    4.145,   -0.005
   4.162,    0.012,    4.162,   -0.005
   4.178,    0.012,    4.178,   -0.005
   4.194,    0.008,    4.194,   -0.006
   4.211,    0.013,    4.211,   -0.005
   4.227,    0.013,    4.227,   -0.004
   4.244,    0.011,    4.244,   -0.005
   4.260,    0.013,    4.260,   -0.004
   4.276,    0.011,    4.276,   -0.005
   4.293,    0.009,    4.293,   -0.005
   4.309,    0.010,    4.309,   -0.006
   4.325,    0.010,    4.325,   -0.005
   4.342,    0.009,    4.342,   -0.005
   4.358,    0.009,    4.358,   -0.006
   4.375,    0.007,    4.375,   -0.006
   4.391,    0.008,    4.391,   -0.006
   4.407,    0.008,    4.407,   -0.006
   4.424,    0.009,    4.424,   -0.005
   4.440,    0.010,    4.440,   -0.006
   4.456,    0.011,    4.456,   -0.005
   4.473,    0.011,    4.473,   -0.005
   4.489,    0.011,    4.489,   -0.005
   4.506,    0.009,    4.506,   -0.006
   4.522,    0.009,    4.522,   -0.005
   4.538,    0.009,    4.538,   -0.005
   4.555,    0.013,    4.555,   -0.005
   4.571,    0.010,    4.571,   -0.005
   4.588,    0.008,    4.588,   -0.006
   4.604,    0.013,    4.604,   -0.004
   4.620,    0.005,    4.620,   -0.007
   4.637,    0.008,    4.637,   -0.006
   4.653,    0.010,    4.653,   -0.005
   4.669,    0.007,    4.669,   -0.005
   4.686,    0.010,    4.686,   -0.005
   4.702,    0.014,    4.702,   -0.004
   4.719,    0.009,    4.719,   -0.005
   4.735,    0.010,    4.735,   -0.005
   4.751,    0.010,    4.751,   -0.005
   4.768,    0.008,    4.768,   -0.005
   4.784,    0.010,    4.784,   -0.005
   4.801,    0.008,    4.801,   -0.006
   4.817,    0.006,    4.817,   -0.006
   4.833,    0.012,    4.833,   -0.005
   4.850,    0.009,    4.850,   -0.006
   4.866,    0.011,    4.866,   -0.005
   4.882,    0.009,    4.882,   -0.006
   4.899,    0.010,    4.899,   -0.005
   4.915,    0.010,    4.915,   -0.005
   4.932,    0.013,    4.932,   -0.004
   4.948,    0.009,    4.948,   -0.005
